Fecha;FutIbexPlus;Volat10;Volat30;Volat60;Volat90;Volat120;Volat150;Volat180;Volat360
04/01/2010;12151;18.75;15.27;18.83;19.04;19.05;20.27;20.67;35.34
05/01/2010;12193.5;18.12;10.47;18.77;19.04;19.02;20.26;20.49;35.33
06/01/2010;12215.5;17.9;10.59;18.73;19.02;18.98;20.25;20.47;35.26
07/01/2010;12162;17.44;11.64;18.76;19.02;19;20.17;20.44;35.26
08/01/2010;12173;17.41;11.65;18.59;18.74;18.99;20.13;20.35;35.26
11/01/2010;12076;17.58;12.9;18.13;18.61;19.04;20.11;20.29;35.26
12/01/2010;11974.5;15.88;13.55;18.22;18.68;18.83;20.13;20.1;35.22
13/01/2010;11961.5;15.58;13.54;17.92;18.38;18.82;20.14;20.05;35.22
14/01/2010;12004;15.3;13.19;17.73;18.24;18.72;19.93;20.01;35.15
15/01/2010;11900.8;14.63;8.28;17.75;18.31;18.76;19.97;20.04;35.15
18/01/2010;11847.5;14.69;7.54;17.7;18.29;18.78;19.73;20.03;35.15
19/01/2010;12019;15.31;11.97;17.93;18.34;18.66;19.78;20.09;35.17
20/01/2010;11671.5;17.36;19.11;18.9;18.98;19.18;20.06;20.32;35.16
21/01/2010;11407.5;18.55;21.07;19.4;19.37;19.46;19.84;20.49;35.21
22/01/2010;11339.5;18;21.07;19.43;19.34;19.48;19.86;20.51;35.19
25/01/2010;11216.5;16.77;21.17;19.17;19.3;19.41;19.58;20.21;35.13
26/01/2010;11318.5;16.93;22.77;18.69;19.36;19.44;19.6;20.23;35.12
27/01/2010;11016.5;18.65;24.42;18.91;19.88;19.74;19.95;20.51;35.18
28/01/2010;10790.5;19.17;25.13;19.33;20.11;19.98;20.06;20.57;35.22
29/01/2010;10925.5;19.65;28.01;19.1;20.2;20.03;20.12;20.5;35.21
01/02/2010;10983;19.33;25.88;18.95;20.21;19.99;20.05;20.49;35.22
02/02/2010;11147.5;19.58;26.06;18.95;20.26;20.06;19.84;20.43;35.24
03/02/2010;10891.5;20.53;26.14;19.53;20.62;20.27;20.09;20.61;35.26
04/02/2010;10241;26.98;40.08;22.86;22.76;21.85;21.65;21.94;35.64
05/02/2010;10072;27;40.18;23.05;22.9;21.93;21.75;22.03;35.57
08/02/2010;10191.5;27.29;40.67;23.2;23;22.01;21.69;22.03;35.49
09/02/2010;10275.5;27.37;40.75;23.28;22.8;21.87;21.67;22.01;35.36
10/02/2010;10456.5;28.15;41.95;23.61;22.86;21.69;21.73;22.11;35.36
11/02/2010;10272;28.42;41.36;23.7;22.75;21.78;21.66;22.08;35.37
12/02/2010;10231.5;27.43;40.78;23.71;22.35;21.69;21.64;22.08;35.37
15/02/2010;10278;27.47;39.25;23.68;22.34;21.7;21.36;21.92;35.31
16/02/2010;10391.5;27.84;39.53;23.69;22.39;21.77;21.37;21.96;35.11
17/02/2010;10484;28.17;20.39;23.77;22.44;21.8;21.36;21.97;35.12
18/02/2010;10568.5;28.4;16.82;23.59;22.5;21.83;21.38;21.92;35.05
19/02/2010;10599.1;28.47;16.39;23.61;22.44;21.68;21.38;21.89;35.06
22/02/2010;10566.5;28.45;16.65;23.57;22.09;21.58;21.39;21.84;34.56
23/02/2010;10319;29.01;19.56;23.49;22.42;21.86;21.41;22.01;34.61
24/02/2010;10265;28.89;17.17;23.33;22.31;21.64;21.4;22.02;34.6
25/02/2010;10130;28.97;18.52;23.4;22.25;21.61;21.39;21.94;34.61
26/02/2010;10338;29.99;21.75;23.5;22.54;21.83;21.55;22.07;34.58
01/03/2010;10438.5;29.74;21.56;23.63;22.57;21.86;21.59;21.92;34.58
02/03/2010;10512;28.94;21.35;23.7;22.61;21.84;21.43;21.92;34.44
03/03/2010;10679;28.87;22.62;23.85;22.76;21.92;21.53;21.88;34.47
04/03/2010;10753.5;28.97;22.83;23.92;22.75;21.94;21.53;21.53;34.43
05/03/2010;11026.5;29.91;25.77;24.36;23.17;22.22;21.78;21.73;34.46
08/03/2010;11078.5;29.81;19.3;23.86;22.97;22.15;21.69;21.46;34.31
09/03/2010;11008;28.74;19.56;23.85;22.67;22.16;21.7;21.48;33.86
10/03/2010;11119.5;28.16;14.87;23.96;22.4;22.21;21.65;21.51;33.84
11/03/2010;11038.5;28.03;16.21;23.91;22.41;22.19;21.68;21.46;33.54
12/03/2010;11080.5;28.01;16.24;23.92;22.17;22.18;21.65;21.46;33.39
15/03/2010;10967.5;27.81;18.58;23.85;22.13;22.22;21.66;21.44;32.35
16/03/2010;11055;27.01;17.52;23.72;22.02;22.16;21.65;21.23;31.23
17/03/2010;11190;19.14;18.03;23.86;22.12;22.23;21.64;21.27;31.14
18/03/2010;11076.5;18.62;14.53;23.92;21.92;22.05;21.36;21.25;30.83
19/03/2010;10957.1;18.89;15.44;23.96;21.98;22.09;21.38;21.28;30.61
22/03/2010;10838.5;19.21;16.11;23.99;22.03;22.13;21.43;21.23;30.55
23/03/2010;10984;18.94;16.95;24.14;22.16;22;21.37;21.24;30.43
24/03/2010;10854;18.45;17.64;24.23;22.22;21.93;21.16;21.25;30.42
25/03/2010;11063;19.05;20.86;24.6;22.41;21.91;21.26;21.2;29.63
26/03/2010;11053.5;19.07;19.97;24.23;22.41;21.62;21.2;21.18;29.56
29/03/2010;11062.5;18.89;19.52;24.21;22.38;21.59;21.19;20.93;29.23
